股票代码,波动次数_120天,波动次数_60天,波动次数_30天,平均波动幅度%,平均波段幅度%,最大波动幅度%,波动频率%,最新价格,日期,最近波段日期,最近波段幅度%
605196.SH,118,58,28,12.1,12.1,25.95,100.0,47.44,2026-04-15,2026-04-15,10.4
688028.SH,118,58,28,15.6,15.6,53.03,100.0,97.84,2026-04-15,2026-04-15,14.43
688195.SH,118,58,28,17.21,17.21,43.83,100.0,341.5,2026-04-15,2026-04-15,13.5
688233.SH,118,58,28,13.87,13.87,53.3,100.0,72.87,2026-04-15,2026-04-15,6.59
688519.SH,118,58,28,14.67,14.67,34.94,100.0,162.98,2026-04-15,2026-04-15,28.76
002353.SZ,117,58,28,10.92,10.97,22.08,99.2,109.48,2026-04-15,2026-04-15,10.66
002384.SZ,117,57,28,12.09,12.16,28.05,99.2,145.8,2026-04-15,2026-04-15,14.16
600183.SH,117,57,27,10.5,10.54,27.45,99.2,66.9,2026-04-15,2026-04-15,19.93
603876.SH,117,58,28,10.7,10.77,24.0,99.2,24.7,2026-04-15,2026-04-15,10.93
603986.SH,117,58,28,10.61,10.66,23.88,99.2,274.0,2026-04-15,2026-04-15,12.7
688416.SH,117,58,28,14.32,14.41,42.62,99.2,82.08,2026-04-15,2026-04-15,13.33
688521.SH,117,58,28,12.66,12.72,29.47,99.2,254.24,2026-04-15,2026-04-15,9.59
688676.SH,117,57,27,12.9,12.97,40.47,99.2,85.5,2026-04-15,2026-04-15,8.54
300136.SZ,116,56,26,13.46,13.62,45.03,98.3,68.5,2026-04-15,2026-04-15,13.72
603225.SH,116,58,28,9.51,9.59,23.73,98.3,17.72,2026-04-15,2026-04-15,7.05
688308.SH,116,58,28,14.48,14.64,45.12,98.3,97.52,2026-04-15,2026-04-15,8.59
688388.SH,116,58,28,11.39,11.5,27.55,98.3,48.6,2026-04-15,2026-04-15,16.0
688556.SH,116,58,28,12.04,12.17,28.53,98.3,13.28,2026-04-15,2026-04-15,10.19
600118.SH,115,56,28,12.01,12.21,37.13,97.5,86.28,2026-04-15,2026-04-15,12.56
601231.SH,115,58,28,12.2,12.41,25.84,97.5,36.62,2026-04-15,2026-04-15,10.2
688658.SH,115,56,28,10.78,10.95,31.53,97.5,20.61,2026-04-15,2026-04-15,12.71
688668.SH,115,58,28,12.92,13.14,43.34,97.5,172.69,2026-04-15,2026-04-15,12.63
688788.SH,115,55,25,10.4,10.55,26.07,97.5,56.71,2026-04-15,2026-04-15,5.74
002202.SZ,114,57,28,12.34,12.62,39.62,96.6,25.02,2026-04-15,2026-04-15,9.49
002916.SZ,114,58,28,10.6,10.81,20.89,96.6,270.93,2026-04-15,2026-04-15,16.33
300604.SZ,114,56,27,9.96,10.15,27.3,96.6,141.21,2026-04-15,2026-04-15,9.62
603228.SH,114,54,28,10.23,10.47,30.12,96.6,60.41,2026-04-15,2026-04-15,7.84
688698.SH,114,54,25,10.97,11.2,27.65,96.6,70.28,2026-04-15,2026-04-15,7.94
002460.SZ,113,54,27,9.52,9.76,31.98,95.8,82.17,2026-04-15,2026-04-15,8.06
300476.SZ,113,54,26,9.96,10.19,25.3,95.8,295.44,2026-04-15,2026-04-15,12.12
